"spiel_id","spiel_title","bgg_id","note"
"914","Fourth Wing - Realtalk","","Fill verified BGG ID"
"994","Fourth Wing - The Game: Choosing the Dragons","","Fill verified BGG ID"
"1479","Fox Grove","","Fill verified BGG ID"
"962","Freiluftwelten","","Fill verified BGG ID"
"388","Frische Fische - Erweiterung für ""Fish n Flips""","","Fill verified BGG ID"
"1443","Fritzi Vogelscheuche","","Fill verified BGG ID"
"628","Frog Splash","","Fill verified BGG ID"
"255","Fruit Cocktail (Irrlichter)","","Fill verified BGG ID"
"690","Fun Fact!","","Fill verified BGG ID"
"1112","GEFÜHLSWÜRFEL SPIEL26-Edition","","Fill verified BGG ID"
"1428","GOOD FORTUNE","","Fill verified BGG ID"
"660","GORILLA AUF EIS","","Fill verified BGG ID"
"1289","GOULA - 1 to 5 bus","","Fill verified BGG ID"
"1299","GOULA - Goldilocks and the 3 bears","","Fill verified BGG ID"
"39","GRINIVIL","","Fill verified BGG ID"
"310","GRIZZO - Fish your luck!","","Fill verified BGG ID"
"1284","Galactic Cruise: Meilensteine","","Fill verified BGG ID"
"1371","Galileo Galilei Luna","","Fill verified BGG ID"
"1024","Galileo's Truth","","Fill verified BGG ID"
"485","Garden Apple Go!","","Fill verified BGG ID"
"332","Gefangen im Varieté","","Fill verified BGG ID"
"959","Gefängnisausbruch: Unter Druck","","Fill verified BGG ID"
"905","Generals of Kaladan: Age of Crowns","","Fill verified BGG ID"
"1073","Ghost","","Fill verified BGG ID"
"1368","Gloomy Bear","","Fill verified BGG ID"
"1238","Goa","","Fill verified BGG ID"
"1416","Gods of Egypt","","Fill verified BGG ID"
"1074","Got Five","","Fill verified BGG ID"
"1318","Got What It Bakes?","","Fill verified BGG ID"
"1240","Got Your Goat","","Fill verified BGG ID"
"807","Grab the mic on tour","","Fill verified BGG ID"
"719","Granny Boo !","","Fill verified BGG ID"
"512","Greedy Goose","","Fill verified BGG ID"
"881","Green City","","Fill verified BGG ID"
"972","Guacamole","","Fill verified BGG ID"
"14","Guilds of Thokaia","","Fill verified BGG ID"
"1451","Gyges","","Fill verified BGG ID"
"773","HOLOMONSTERS - Das Kartenspiel","","Fill verified BGG ID"
"1322","HackClad","","Fill verified BGG ID"
"1045","Hacker Girl: Infinite Loop of Fate","","Fill verified BGG ID"
"1060","Haelo: Heros wana keep that Halo","","Fill verified BGG ID"
"984","Happy Double","","Fill verified BGG ID"
"926","Happy Holiday","","Fill verified BGG ID"
"1070","Harvest Business","","Fill verified BGG ID"
"831","Haunted Mouse Deluxe Edition","","Fill verified BGG ID"
"893","Haushoch!","","Fill verified BGG ID"
"1403","Heat - Flirrende Hitze","","Fill verified BGG ID"
"1384","Heroes of Barcadia","","Fill verified BGG ID"
"1094","Hexxpeed","","Fill verified BGG ID"
"470","HiLo® PLUS","","Fill verified BGG ID"
"475","HiLo® – Metallbox","","Fill verified BGG ID"
"980","High Five","","Fill verified BGG ID"
"918","High Five 18+","","Fill verified BGG ID"
"816","Hire or Fire","","Fill verified BGG ID"
"1305","Hitster - Flying Mic","","Fill verified BGG ID"
"1290","Hitster - W:O:A (Wacken Edition)","","Fill verified BGG ID"
"1253","Hizabr","","Fill verified BGG ID"
"748","Holy Moley","","Fill verified BGG ID"
"1312","Honeypot: Sticky Fingers","","Fill verified BGG ID"
"1078","Hop`n`Roll","","Fill verified BGG ID"
"143","Hopping","","Fill verified BGG ID"
"1429","Horrible Couple (Extra Horrible Edition)","","Fill verified BGG ID"
"248","Hungry Hungry Ghost","","Fill verified BGG ID"
"407","I see black for your English","","Fill verified BGG ID"
"683","IMPOSTOR - FAMILY-Edition","","Fill verified BGG ID"
"765","IMPOSTOR - Fussball-Edition","","Fill verified BGG ID"
"771","IMPOSTOR - Party-Edition","","Fill verified BGG ID"
"51","IQ Flow","","Fill verified BGG ID"
"96","IQ Puzzler Deluxe","","Fill verified BGG ID"
"252","IQ Quub","","Fill verified BGG ID"
"127","IQ Star Deluxe","","Fill verified BGG ID"
"1057","Ice Split","","Fill verified BGG ID"
"943","Ich seh’ ein Wort","","Fill verified BGG ID"
"420","Imperial Twing (2nd Edition)","","Fill verified BGG ID"
"948","Improquest","","Fill verified BGG ID"
"380","In voller Blüte – Wer legt die schönsten Beete an?","","Fill verified BGG ID"
"553","Inside House","","Fill verified BGG ID"
"1163","Into Madness (the title is tentative)","","Fill verified BGG ID"
"1326","Into the Machine: HyperDrive Series","","Fill verified BGG ID"
