name,expansion,players,play_time,age,designers,publishers,hall,booth,priority,preorder,prepaid,price,notes
"Courtroom: The Noir Trilogy",0,2-6,"90 min",14,"Robin Hegedűs, Tünde Máté","Mindclash Games",3,3G115,Need,0,0,35,
Covenant,0,1-4,"100 min",14,"Germán P. Millán","Strohmann Games",,"3 T-600",Need,0,0,65,
"Cover Up",0,3-5,"30-60 min",14,"Dennis Burfey","CRIME CASES",2,2B300,Need,0,0,30,
"CoverUp: Drakkard",0,1-2,"20 min",8,"Rob Sparks","PIKA Games",3,3Q315,Need,0,0,18,
"CoverUp: Drakkard",0,1-2,"20 min",8,"Rob Sparks","PIKA Games",3,3Q315,Need,0,0,,
"CoverUp: Volcarna",0,2,"20 min",8,"Rob Sparks","PIKA Games",3,3Q315,Need,0,0,,
"Cozy Stickerville",0,1-6,"30 min",8,"Corey Konieczka","Unexpected Games",,,Need,0,0,40,
"CRAB RAGE!",0,3-5,"30-45 min",14,"Pim Thunborg","Osprey Games",3,3M600,Need,0,0,35,
Crescendo,0,2-6,"20-40 min",8,"Christwart Conrad","MEBO Games",6,6G225,Need,0,0,15,
"Crime Files Adventskalender: Fallakte ? Sherlocks Zeitungsarchiv",0,1-4,"360-480 min",14,"Lukas Setzke, Verena Wiechens",frechverlag,6,6H200,Need,0,0,24,
"Crimson Keep",0,1-2,"60-120 min",12,"Nick Warren",(Self-Published),,,Need,0,0,,
"Crispy Critters",0,2-4,"15-25 min",7,"Matt Ding","Dranda Games",3,3H400,Need,0,0,15,
"Crits & Tricks",0,1-4,"20-45 min",14,"Pete Wissinger","Inside Up Games",3,3R400,Need,0,0,40,
